left_iris_1_x,left_iris_1_y,left_iris_1_z,left_iris_2_x,left_iris_2_y,left_iris_2_z,left_iris_3_x,left_iris_3_y,left_iris_3_z,left_iris_4_x,left_iris_4_y,left_iris_4_z,right_iris_1_x,right_iris_1_y,right_iris_1_z,right_iris_2_x,right_iris_2_y,right_iris_2_z,right_iris_3_x,right_iris_3_y,right_iris_3_z,right_iris_4_x,right_iris_4_y,right_iris_4_z,left_canthus_x,left_canthus_y,left_canthus_z,right_canthus_x,right_canthus_y,right_canthus_z,between_eyes_x,between_eyes_y,between_eyes_z,nose_tip_x,nose_tip_y,nose_tip_z,label
312.94132232666016,336.82851791381836,-5.445657968521118,313.11742782592773,335.8543395996094,-5.441139340400696,312.01513290405273,335.8069896697998,-5.444609522819519,311.79344177246094,337.35302925109863,-5.446087121963501,323.8031768798828,340.9102249145508,22.659058570861816,323.66943359375,340.9727096557617,22.66343355178833,321.3484573364258,341.1009407043457,22.658777236938477,321.5865707397461,341.557559967041,22.658939361572266,320.3612518310547,337.7442741394043,14.352651834487915,313.5762023925781,336.4350700378418,-1.9423983991146088,320.0442886352539,346.6727828979492,0.23396670818328857,306.727237701416,355.9471321105957,-8.074138164520264,0
313.8167953491211,326.7381763458252,-4.471977651119232,310.87141036987305,323.73209953308105,-4.471887052059174,308.17371368408203,326.5315246582031,-4.4715264439582825,311.19651794433594,329.69552993774414,-4.473201930522919,336.4875030517578,330.1801586151123,23.251707553863525,335.09483337402344,327.3941230773926,23.252251148223877,333.0386734008789,329.21802520751953,23.24883222579956,334.51160430908203,331.8357467651367,23.249642848968506,331.6576385498047,328.3450698852539,17.929528951644897,316.7985725402832,328.0005741119385,0.6894796341657639,327.87452697753906,324.09499168395996,5.178041458129883,335.49293518066406,344.2482376098633,-8.50484848022461,0
288.4869575500488,331.24305725097656,4.628080129623413,284.98790740966797,328.6904525756836,4.630272090435028,282.1565818786621,331.6192817687988,4.6284019947052,285.86841583251953,334.3292427062988,4.628025591373444,320.93082427978516,337.85542488098145,16.68576955795288,318.4979438781738,334.8841094970703,16.68787956237793,315.52391052246094,336.8302631378174,16.681543588638306,318.0584907531738,339.6837043762207,16.682887077331543,313.22208404541016,335.42667388916016,18.95560383796692,293.0878448486328,331.3066005706787,9.230969548225403,306.50060653686523,324.6464538574219,9.68352496623993,311.14091873168945,345.2347755432129,-11.528574228286743,0
272.0120620727539,326.464262008667,9.478237628936768,268.3447074890137,323.79695892333984,9.48018193244934,265.5228805541992,327.24523544311523,9.478836059570312,269.16221618652344,329.9552822113037,9.477701783180237,308.9559555053711,326.3110542297363,15.641858577728271,305.89977264404297,323.18246841430664,15.64206838607788,302.757511138916,326.0708999633789,15.637718439102173,305.85716247558594,329.16332244873047,15.638080835342407,298.5923767089844,326.22379302978516,14.290809631347656,277.4126625061035,326.77062034606934,10.914276838302612,289.5426940917969,320.65807342529297,6.2626975774765015,292.2829246520996,342.77873039245605,-12.460811138153076,0
246.18803024291992,338.3261489868164,19.36543345451355,244.52045440673828,335.9746742248535,19.36907172203064,243.18378448486328,338.6326503753662,19.366053342819214,244.65457916259766,340.9790897369385,19.364644289016724,268.6208152770996,337.29400634765625,-11.440690755844116,265.8903121948242,334.43944931030273,-11.44136905670166,263.2755661010742,337.7633857727051,-11.445077657699585,265.9029769897461,340.6650924682617,-11.444830894470215,262.46057510375977,340.1196098327637,-4.2876869440078735,249.7894287109375,338.7494373321533,13.639529943466187,248.14241409301758,335.775203704834,-1.1535535007715225,243.74944686889648,366.2714195251465,-7.576072812080383,0
331.84322357177734,328.2443904876709,17.53779888153076,329.46460723876953,325.9064483642578,17.54205346107483,328.0141067504883,328.74114990234375,17.538152933120728,330.27854919433594,331.1660099029541,17.53679633140564,358.58909606933594,329.8769474029541,-11.77998423576355,355.42491912841797,327.15436935424805,-11.781841516494751,353.03504943847656,330.0779342651367,-11.785198450088501,356.13636016845703,332.86909103393555,-11.784756183624268,349.5478057861328,331.2776756286621,-4.8268333077430725,333.4189224243164,328.91392707824707,13.14998745918274,334.3694305419922,327.85600662231445,-2.7229252457618713,330.75809478759766,358.80884170532227,-8.013152480125427,0
306.67442321777344,328.6464500427246,19.251891374588013,303.48331451416016,326.4553928375244,19.253716468811035,301.1856460571289,330.0544738769531,19.252127408981323,304.1790771484375,332.2876167297363,19.251010417938232,343.8636016845703,322.990779876709,2.867901921272278,340.23040771484375,320.031795501709,2.8673774003982544,336.71253204345703,323.6454105377197,2.864038348197937,340.03662109375,326.7092514038086,2.8639599680900574,332.98511505126953,325.53019523620605,6.49173378944397,311.4464569091797,328.6209297180176,16.739094257354736,318.4818458557129,322.70851135253906,4.962148070335388,316.6248321533203,343.81032943725586,-12.143683433532715,0
287.2641181945801,327.76268005371094,17.20839500427246,283.94813537597656,325.4926013946533,17.21044659614563,281.41992568969727,328.65577697753906,17.20889925956726,284.5648956298828,330.88794708251953,17.2078537940979,324.6135711669922,324.47656631469727,6.135806441307068,321.1153030395508,321.516752243042,6.135464310646057,317.5544738769531,324.5276641845703,6.13169252872467,320.81016540527344,327.5057601928711,6.131989359855652,313.414306640625,326.16047859191895,8.44910740852356,291.19890213012695,328.05267333984375,15.722808837890625,299.5030975341797,320.17115592956543,5.6966763734817505,297.74389266967773,342.9433250427246,-12.045408487319946,0
293.91578674316406,338.4507465362549,17.69697070121765,290.38414001464844,336.61757469177246,17.698878049850464,288.67435455322266,340.3311824798584,17.697303295135498,292.14298248291016,342.09239959716797,17.695910930633545,328.8404846191406,330.09398460388184,2.5167644023895264,325.30357360839844,327.43678092956543,2.5162774324417114,322.49908447265625,330.7627201080322,2.5114905834198,325.8340072631836,333.3903121948242,2.511817216873169,318.28990936279297,330.4417133331299,5.9022897481918335,297.3509216308594,336.17491722106934,14.91446852684021,304.0562438964844,328.1345844268799,3.5391995310783386,305.9841537475586,352.1839141845703,-11.673524379730225,0
333.94996643066406,339.52537536621094,14.504749774932861,329.18270111083984,337.611608505249,14.5074462890625,326.9077682495117,341.8355083465576,14.505095481872559,331.5069580078125,343.7860107421875,14.503861665725708,371.9121551513672,329.43328857421875,-0.8783102780580521,367.2273254394531,326.95072174072266,-0.8784192055463791,364.09488677978516,331.06444358825684,-0.8828621357679367,368.72631072998047,333.63412857055664,-0.8820934593677521,357.86502838134766,333.00272941589355,2.894071638584137,337.0328903198242,338.543758392334,11.773862838745117,342.38773345947266,331.99865341186523,-2.045774459838867,347.96260833740234,361.9892120361328,-12.185112237930298,0
341.4262390136719,330.60733795166016,-0.5245914310216904,337.3777389526367,326.91967964172363,-0.5209610983729362,333.4391403198242,330.47704696655273,-0.523885190486908,337.5749969482422,334.2766571044922,-0.5251481756567955,382.965087890625,333.9229488372803,9.777945280075073,379.60853576660156,330.1439952850342,9.77876901626587,375.7419204711914,333.31435203552246,9.773465394973755,379.2095947265625,337.16108322143555,9.774954319000244,369.1159439086914,333.68245124816895,7.901500463485718,345.08861541748047,331.6626834869385,1.7460836470127106,359.9353790283203,330.4877758026123,-6.421384811401367,360.31429290771484,362.39044189453125,-12.039589881896973,0
294.7092819213867,329.6712398529053,-7.681697607040405,291.2052917480469,325.37930488586426,-7.679399847984314,286.5525245666504,328.6468505859375,-7.681030035018921,290.15419006347656,333.15359115600586,-7.682619690895081,332.1601104736328,335.91673851013184,12.352060079574585,329.29126739501953,331.9190311431885,12.352294921875,325.1811981201172,334.86494064331055,12.347718477249146,328.02947998046875,338.98630142211914,12.34840989112854,321.7814254760742,334.98361587524414,10.974961519241333,300.6483459472656,332.0098686218262,-2.9354465007781982,318.33309173583984,331.41520500183105,-6.724729537963867,315.44506072998047,366.3519287109375,-10.854146480560303,0
278.67319107055664,329.4869613647461,-1.390049010515213,274.12805557250977,325.7014846801758,-1.3857729732990265,270.0960159301758,329.8524856567383,-1.3892069458961487,274.6303176879883,333.7713432312012,-1.3904093205928802,323.14239501953125,328.0957317352295,8.174842596054077,318.8991165161133,324.35794830322266,8.175922632217407,314.9528503417969,328.2450485229492,8.169901967048645,319.20143127441406,332.0357322692871,8.171436786651611,310.22605895996094,330.51426887512207,6.504800915718079,285.7956123352051,331.3432216644287,0.7116956263780594,300.6321907043457,329.06822204589844,-8.381927013397217,304.13856506347656,361.61767959594727,-11.705851554870605,0
301.761531829834,329.25865173339844,13.041987419128418,297.32837677001953,326.6582679748535,13.045263290405273,294.71920013427734,331.17639541625977,13.042529821395874,298.9803886413574,333.98494720458984,13.040993213653564,344.10839080810547,319.99717712402344,-2.3529189825057983,339.33555603027344,317.1346664428711,-2.3536083102226257,336.055908203125,321.6789150238037,-2.358102947473526,340.5560302734375,324.7291660308838,-2.3575347661972046,332.303466796875,325.1364040374756,0.7368163019418716,309.38236236572266,330.01593589782715,9.87499475479126,316.8740653991699,325.814151763916,-5.988380312919617,321.9258117675781,356.1647415161133,-12.27243185043335,0
323.9958190917969,329.77429389953613,17.88782000541687,319.42161560058594,327.7126407623291,17.890563011169434,316.7756462097168,331.86670303344727,17.888401746749878,321.1460876464844,334.0689182281494,17.88700819015503,362.89085388183594,320.56551933288574,-3.157484233379364,358.0719757080078,317.8737545013428,-3.158305585384369,354.44385528564453,322.0737075805664,-3.1619885563850403,359.09244537353516,324.91498947143555,-3.1616297364234924,347.44396209716797,324.53856468200684,1.6120195388793945,327.1505355834961,329.25936698913574,14.386453628540039,330.50392150878906,323.2492446899414,-0.8299828320741653,332.84820556640625,353.0134963989258,-12.288236618041992,0
311.6165542602539,325.7811641693115,14.476126432418823,306.5686798095703,322.4905586242676,14.47866678237915,302.85741806030273,327.2828006744385,14.476453065872192,307.8074645996094,330.67030906677246,14.475183486938477,352.0077896118164,320.22605895996094,-0.561792403459549,347.14637756347656,316.5106201171875,-0.5623660981655121,342.88490295410156,321.0068893432617,-0.5664819106459618,347.5939178466797,324.8371124267578,-0.5659721791744232,335.6999969482422,324.5166778564453,2.1419820189476013,314.96864318847656,327.40410804748535,11.62679672241211,321.12735748291016,322.23426818847656,-3.1112250685691833,322.3208236694336,353.0738353729248,-12.163927555084229,0
324.6514892578125,322.8207206726074,-4.5136842131614685,321.82098388671875,318.96886825561523,-4.512643814086914,318.52821350097656,321.8313789367676,-4.51292484998703,321.7449951171875,325.9416389465332,-4.514284729957581,356.74652099609375,331.2250328063965,23.254072666168213,355.15209197998047,327.87291526794434,23.255136013031006,352.8947448730469,330.14888763427734,23.250935077667236,354.6574401855469,333.62268447875977,23.2523512840271,345.5355453491211,329.4465637207031,17.544500827789307,326.43115997314453,324.88128662109375,0.9436020255088806,341.2352752685547,322.2539234161377,2.3040497303009033,344.1093444824219,351.35107040405273,-11.240514516830444,0
312.69824981689453,327.5532817840576,-9.11325216293335,310.4709243774414,323.8893413543701,-9.114309549331665,307.55565643310547,326.43213272094727,-9.112334847450256,310.0813674926758,330.2131462097168,-9.113838076591492,338.2511901855469,335.0272750854492,23.79852294921875,337.46097564697266,332.0327568054199,23.79993438720703,335.71311950683594,333.9207458496094,23.79676342010498,336.5596389770508,336.86731338500977,23.79783868789673,331.11244201660156,333.462553024292,17.63769507408142,315.1841926574707,330.09830474853516,-2.714357376098633,330.16529083251953,329.17613983154297,1.5761996805667877,332.09667205810547,359.60981369018555,-8.902897834777832,0
287.647762298584,325.3025722503662,-11.816829442977905,285.54250717163086,322.3069953918457,-11.81804895401001,283.1336975097656,324.64696884155273,-11.816442012786865,285.4239082336426,327.7635097503662,-11.81753396987915,311.0148239135742,331.6804790496826,25.423603057861328,310.0697708129883,329.3133544921875,25.42567253112793,308.5099792480469,331.0854721069336,25.42149305343628,309.63356018066406,333.39488983154297,25.42307138442993,305.6637954711914,330.1179885864258,18.976352214813232,290.92864990234375,326.35972023010254,-4.168287813663483,304.7825241088867,325.7384490966797,1.9022883474826813,308.47904205322266,354.77251052856445,-8.74452292919159,0
285.73638916015625,322.82029151916504,-10.53335428237915,284.2075729370117,319.7812557220459,-10.534825325012207,282.5519561767578,322.4604606628418,-10.532699823379517,284.4565010070801,325.70566177368164,-10.533829927444458,308.7534523010254,328.47204208374023,25.018837451934814,308.45605850219727,326.1464023590088,25.021700859069824,307.7462959289551,328.2813549041748,25.01690149307251,308.2808303833008,330.54614067077637,25.0185489654541,302.9005432128906,327.66775131225586,18.389030694961548,286.9280815124512,324.33048248291016,-3.1040340662002563,300.41316986083984,322.3221015930176,1.684216558933258,305.13492584228516,350.86618423461914,-8.83246898651123,0
293.0508804321289,322.930212020874,-9.278758764266968,291.22053146362305,319.71911430358887,-9.278222918510437,289.287166595459,322.38882064819336,-9.278181791305542,291.50794982910156,325.7771301269531,-9.279487133026123,319.33597564697266,329.6331024169922,24.318461418151855,318.7361717224121,327.202091217041,24.320216178894043,317.95326232910156,329.2489242553711,24.315481185913086,318.7405014038086,331.65907859802246,24.317162036895752,312.4984931945801,328.8185405731201,18.20446491241455,294.30837631225586,325.0348091125488,-2.8789645433425903,308.44966888427734,322.76049613952637,1.9314031302928925,314.1194534301758,350.659875869751,-9.074994921684265,0
